title,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,publisher,citeScoreTracker_2024,citeScoreCurrentMetric_2023
Journal of Communications,journal,ENGI,Electrical and Electronic Engineering,0.334,0.242,112,1384,18,0.0,84,1885,38,0.0,49,1138,40,0.0,Engineering and Technology Publishing,3.2,3.4
Journal of Communications Software and Systems,journal,ENGI;COMP,Software;Electrical and Electronic Engineering,0.249,0.223,35,241,12,0.0,29,257,13,0.0,24,226,19,0.0,University of Split,1.9,2.0
Journal of Communications Technology and Electronics,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Radiation;Condensed Matter Physics;Electrical and Electronic Engineering",0.468,0.222,221,1002,134,1.81,239,938,190,0.84,16,675,14,0.0,Pleiades Publishing,1.0,1.0
Journal of Communications and Information Networks,journal,ENGI;COMP,Computer Networks and Communications;Electrical and Electronic Engineering,1.032,1.946,38,496,4,7.89,35,790,9,0.0,17,781,13,5.88,Posts and Telecom Press Co Ltd,8.9,7.0
Journal of Composite Materials,journal,ENGI;MATE,Mechanics of Materials;Materials Chemistry;Ceramics and Composites;Mechanical Engineering,0.941,0.528,313,16551,23,7.35,305,15731,80,7.21,198,15161,136,10.61,SAGE Publications Ltd,4.8,5.4
Journal of Composites Science,journal,ENGI;MATE,Engineering (miscellaneous);Ceramics and Composites,1.012,0.583,396,2965,37,11.36,520,4559,94,10.96,437,6420,310,12.36,Multidisciplinary Digital Publishing Institute (MDPI),5.5,5.0
Journal of Composites for Construction,journal,ENGI;MATE,Ceramics and Composites;Civil and Structural Engineering;Mechanical Engineering;Building and Construction;Mechanics of Materials,1.558,1.147,101,9288,10,0.0,89,9185,10,2.25,86,8022,53,0.0,American Society of Civil Engineers (ASCE),6.7,7.4
Journal of Computational Applied Mechanics,journal,ENGI,Mechanical Engineering;Computational Mechanics;Mechanics of Materials,0.461,0.261,40,235,18,5.0,40,242,18,2.5,35,344,15,2.86,University of Tehran,2.9,2.3
Journal of Computational Design and Engineering,journal,ENGI;MATH;COMP,Modeling and Simulation;Computer Graphics and Computer-Aided Design;Human-Computer Interaction;Engineering (miscellaneous);Computational Mathematics;Computational Mechanics,1.306,0.827,139,2234,7,2.88,128,2688,18,4.69,85,3016,52,2.35,Oxford University Press,9.5,7.7
Journal of Computational Dynamics,journal,ENGI;MATH,Computational Mechanics;Computational Mathematics,0.859,0.545,28,396,6,0.0,22,432,15,0.0,29,392,25,0.0,American Institute of Mathematical Sciences,1.9,2.3
Journal of Computational Electronics,journal,ENGI;PHYS;MATH;MATE,"Electronic, Optical and Magnetic Materials;Modeling and Simulation;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",0.824,0.294,133,3020,21,3.01,159,3360,47,1.89,127,3044,94,0.79,Springer Netherlands,4.9,4.5
Journal of Computational Methods in Sciences and Engineering,journal,ENGI;MATH;COMP,Engineering (all);Computer Science Applications;Computational Mathematics,0.196,0.170,184,488,78,0.0,252,579,163,0.0,223,601,202,0.0,IOS Press BV,0.9,0.8
Journal of Computational and Applied Research in Mechanical Engineering,journal,ENGI,Industrial and Manufacturing Engineering;Mechanical Engineering;Computational Mechanics;Mechanics of Materials,0.345,0.199,27,126,11,0.0,11,155,9,0.0,8,144,6,0.0,Shahid Rajaee Teacher Training University,2.1,2.1
Journal of Computational and Nonlinear Dynamics,journal,ENGI;MATH,Control and Systems Engineering;Applied Mathematics;Mechanical Engineering,0.767,0.429,95,2502,12,1.05,95,2397,35,0.0,67,2328,47,0.0,The American Society of Mechanical Engineers(ASME),3.8,4.0
Journal of Computer Security,journal,ENGI;COMP,"Computer Networks and Communications;Software;Hardware and Architecture;Safety, Risk, Reliability and Quality",0.494,0.340,27,944,11,0.0,25,821,12,0.0,10,637,9,0.0,IOS Press BV,2.3,1.7
Journal of Computer and Systems Sciences International,journal,ENGI;MATH;COMP,Software;Computer Vision and Pattern Recognition;Computer Networks and Communications;Theoretical Computer Science;Control and Systems Engineering;Information Systems;Applied Mathematics,0.75,0.344,84,743,42,1.19,78,728,61,0.0,39,432,38,0.0,Pleiades Publishing,1.1,1.5
Journal of Computing Science and Engineering,journal,ENGI;COMP,Engineering (all);Computer Science Applications,0.33,0.208,21,154,12,0.0,21,181,16,0.0,10,118,10,0.0,Korean Institute of Information Scientists and Engineers,1.0,1.0
Journal of Computing and Information Science in Engineering,journal,ENGI;COMP,Software;Computer Science Applications;Computer Graphics and Computer-Aided Design;Industrial and Manufacturing Engineering,0.96,0.768,97,1762,12,0.0,104,2021,15,0.0,105,1952,60,1.9,The American Society of Mechanical Engineers(ASME),5.8,6.3
Journal of Computing in Civil Engineering,journal,ENGI;COMP,Computer Science Applications;Civil and Structural Engineering,1.567,1.137,55,6799,4,1.82,59,6281,5,0.0,55,6267,30,3.64,American Society of Civil Engineers (ASCE),10.3,11.9
Journal of Conflict and Security Law,journal,ENGI;SOCI,"Law;Safety Research;Safety, Risk, Reliability and Quality",0.85,0.190,19,218,7,0.0,20,270,10,0.0,13,264,10,0.0,Oxford University Press,1.5,1.3
Journal of Construction Engineering and Management - ASCE,journal,BUSI;ENGI,Strategy and Management;Building and Construction;Industrial Relations;Civil and Structural Engineering,1.556,1.071,201,15285,5,4.98,220,15626,27,5.91,247,14861,165,3.64,American Society of Civil Engineers (ASCE),7.5,8.7
Journal of Construction in Developing Countries,journal,BUSI;ENGI,Architecture;Management of Technology and Innovation;Building and Construction;Strategy and Management,0.563,0.273,24,442,4,0.0,30,513,12,0.0,12,484,11,0.0,Universiti Sains Malaysia,2.0,1.5
Journal of Constructional Steel Research,journal,ENGI;MATE,Building and Construction;Metals and Alloys;Mechanics of Materials;Civil and Structural Engineering,1.718,1.261,541,21841,23,1.29,486,25146,41,2.26,749,24075,396,1.87,Elsevier B.V.,7.3,7.9
Journal of Control Science and Engineering,journal,ENGI;MATH;COMP,Modeling and Simulation;Computer Science Applications;Electrical and Electronic Engineering,0.767,0.388,59,657,28,0.0,63,661,55,0.0,2,495,2,0.0,Hindawi Publishing Corporation,3.1,4.7
Journal of Control and Decision,journal,ENGI;MATH;COMP,Signal Processing;Artificial Intelligence;Human-Computer Interaction;Computer Networks and Communications;Control and Systems Engineering;Information Systems;Control and Optimization,0.619,0.465,48,412,12,2.08,111,473,38,1.8,126,687,83,3.17,Taylor and Francis Ltd.,3.8,2.8
"Journal of Control, Automation and Electrical Systems",journal,ENGI;COMP;ENER,Electrical and Electronic Engineering;Control and Systems Engineering;Energy Engineering and Power Technology;Computer Science Applications,0.685,0.443,149,1439,28,0.0,104,1651,28,0.0,82,1272,62,0.0,Springer Science + Business Media,3.7,4.1
Journal of Cryptologic Research,journal,ENGI;MATH;COMP,Software;Computational Mathematics;Electrical and Electronic Engineering;Computer Science Applications;Applied Mathematics,0.444,0.191,76,286,38,1.32,101,298,84,2.97,38,234,38,7.89,Chinese Association for Cryptologic Research,1.1,1.1
Journal of Cybersecurity,journal,PSYC;ENGI;SOCI;COMP,"Political Science and International Relations;Computer Science (miscellaneous);Computer Networks and Communications;Law;Social Psychology;Safety, Risk, Reliability and Quality",1.989,0.833,16,556,0,12.5,24,741,5,0.0,19,668,16,5.26,Oxford University Press,7.2,6.2
Journal of Deep Space Exploration,journal,PHYS;ENGI;EART,Space and Planetary Science;Aerospace Engineering;Astronomy and Astrophysics,0.65,0.288,69,119,27,8.7,59,194,38,0.0,34,198,33,0.0,Beijing Institute of Technology Press,1.3,1.7
Journal of Defense Modeling and Simulation,journal,ENGI;MATH,Modeling and Simulation;Engineering (miscellaneous),0.801,0.364,73,424,14,0.0,73,564,31,0.0,57,541,41,1.75,SAGE Publications Inc.,4.2,2.8
Journal of Design Research,journal,ENGI;COMP,Computer Graphics and Computer-Aided Design;Engineering (miscellaneous),0.329,0.122,16,197,13,0.0,8,233,7,0.0,0,198,0,0.0,Inderscience Enterprises Ltd,0.7,0.6
Journal of Design and Built Environment,journal,ENGI;SOCI;ENVI,Architecture;Nature and Landscape Conservation;Building and Construction;Urban Studies,0.627,0.303,22,106,8,0.0,15,151,13,0.0,16,138,16,0.0,University of Malaya,1.2,1.7
"Journal of Design, Business and Society",journal,ARTS;BUSI;ENGI;SOCI,Industrial and Manufacturing Engineering;Cultural Studies;Visual Arts and Performing Arts;Business and International Management,0.274,0.175,13,21,3,0.0,13,32,7,0.0,6,27,6,0.0,Intellect Ltd.,1.9,1.4
Journal of Digital Landscape Architecture,journal,ENGI;SOCI;ENVI;COMP,"Architecture;Computer Science Applications;Geography, Planning and Development;Nature and Landscape Conservation",0.402,0.298,67,140,37,1.49,69,308,45,0.0,100,184,100,0.0,V D E Verlag GmbH,1.0,1.5
Journal of Digital Media and Policy,journal,ENGI;SOCI,Media Technology;Sociology and Political Science;Communication,0.462,0.383,24,126,14,0.0,22,179,14,0.0,14,185,10,0.0,Intellect Ltd.,2.2,2.0
Journal of Disaster Research,journal,ENGI,"Engineering (miscellaneous);Safety, Risk, Reliability and Quality",0.467,0.298,121,936,52,8.26,93,913,66,5.38,82,855,79,2.44,Fuji Technology Press,1.7,1.6
Journal of Donghua University (English Edition),journal,ENGI;MATE,Polymers and Plastics;Industrial and Manufacturing Engineering,0.139,0.129,80,174,65,5.0,82,157,71,1.22,47,142,45,4.26,Dong Hua University,0.5,0.3
Journal of Dynamic Behavior of Materials,journal,ENGI;MATE,Materials Science (miscellaneous);Mechanics of Materials,0.784,0.372,36,637,10,8.33,35,666,14,0.0,51,643,37,0.0,Springer Nature,3.6,3.4
"Journal of Dynamic Systems, Measurement and Control",journal,PHYS;ENGI;COMP,Mechanical Engineering;Control and Systems Engineering;Instrumentation;Computer Science Applications;Information Systems,0.682,0.592,103,5907,13,0.0,72,5671,31,0.0,51,4368,37,0.0,American Society of Mechanical Engineers (ASME),3.7,3.9
Journal of Dynamical and Control Systems,journal,ENGI;MATH,Control and Systems Engineering;Numerical Analysis;Control and Optimization;Algebra and Number Theory,1.145,0.469,51,655,17,0.0,94,715,47,0.0,44,578,41,0.0,Springer New York,1.3,1.7
Journal of Dynamics and Control,journal,ENGI;MATH,Computational Mechanics;Control and Optimization,0.426,0.172,56,69,40,0.0,123,91,95,4.07,93,104,92,1.08,Journal of Dynamics and Control,0.9,0.8
Journal of Earthquake Engineering,journal,ENGI;EART,"Civil and Structural Engineering;Geotechnical Engineering and Engineering Geology;Building and Construction;Safety, Risk, Reliability and Quality",1.388,0.781,358,5201,25,0.0,198,5779,26,0.0,228,5696,133,0.0,Taylor and Francis Ltd.,6.3,5.8
Journal of Ecohydraulics,journal,ENGI;ENVI,Water Science and Technology;Civil and Structural Engineering,1.178,0.859,15,254,1,6.67,16,313,1,0.0,30,193,15,10.0,Taylor and Francis Ltd.,5.7,7.1
Journal of Elasticity,journal,ENGI;MATE,Materials Science (all);Mechanical Engineering;Mechanics of Materials,1.209,0.563,49,3706,15,0.0,73,3586,34,1.37,97,3479,66,0.0,Springer Netherlands,3.2,3.7
Journal of Electrical Bioimpedance,journal,ENGI;BIOC,Biomedical Engineering;Biophysics,0.904,0.310,19,214,7,5.26,9,278,3,0.0,17,222,16,0.0,Sciendo,2.4,3.0
Journal of Electrical Engineering,journal,ENGI,Electrical and Electronic Engineering,0.41,0.221,60,699,23,0.0,60,685,31,0.0,50,543,42,0.0,Walter de Gruyter GmbH,1.7,1.7
Journal of Electrical Engineering (China),journal,ENGI,Electrical and Electronic Engineering,0.373,0.161,118,144,37,0.0,136,216,76,2.21,40,257,35,0.0,Editorial Office of Journal of Electrical Engineering,1.4,1.1
Journal of Electrical Engineering and Technology,journal,ENGI,Electrical and Electronic Engineering,0.759,0.434,307,3366,69,0.0,368,3883,110,0.0,520,3666,381,0.0,Korean Institute of Electrical Engineers,3.5,4.0
Journal of Electrical Systems,journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.325,0.167,40,374,21,0.0,67,354,42,0.0,26,299,15,0.0,Engineering and Scientific Research Groups,1.2,1.1
Journal of Electrical and Computer Engineering,journal,ENGI;COMP,Electrical and Electronic Engineering;Signal Processing;Computer Science (all),0.733,0.424,180,1645,44,1.11,142,1733,79,2.82,81,1427,78,1.23,Hindawi Publishing Corporation,3.5,4.2
Journal of Electrical and Electronics Engineering,journal,ENGI,Electrical and Electronic Engineering,0.27,0.223,34,73,10,0.0,13,133,13,0.0,10,82,10,0.0,Editura Universitatii din Oradea,1.0,0.9
Journal of Electroceramics,journal,PHYS;ENGI;MATE,"Materials Chemistry;Ceramics and Composites;Condensed Matter Physics;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering;Mechanics of Materials",0.508,0.365,29,3015,3,0.0,44,2892,16,0.0,31,2568,26,0.0,Springer Netherlands,3.9,2.8
Journal of Electrochemical Energy Conversion and Storage,journal,ENGI;MATE;ENER,"Energy Engineering and Power Technology;Renewable Energy, Sustainability and the Environment;Mechanical Engineering;Electronic, Optical and Magnetic Materials;Mechanics of Materials",0.493,0.488,72,751,9,0.0,59,861,11,3.39,55,985,26,1.82,American Society of Mechanical Engineers (ASME),5.6,4.9
Journal of Electromagnetic Engineering and Science,journal,PHYS;ENGI;COMP,Computer Networks and Communications;Radiation;Instrumentation;Electrical and Electronic Engineering,0.702,0.514,92,374,23,0.0,72,429,29,0.0,61,435,54,0.0,Korean Institute of Electromagnetic Engineering and Science,2.7,2.9
Journal of Electromagnetic Waves and Applications,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Physics and Astronomy (all);Electrical and Electronic Engineering",0.656,0.376,178,3106,42,1.12,98,3006,35,1.02,128,2351,107,0.78,Taylor and Francis Ltd.,2.9,3.6
Journal of Electronic Imaging,journal,PHYS;ENGI;COMP,"Computer Science Applications;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",0.357,0.264,385,3183,160,0.52,324,3304,168,2.16,223,2779,187,0.0,SPIE,2.0,1.7
Journal of Electronic Materials,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Materials Chemistry;Condensed Matter Physics;Electrical and Electronic Engineering",0.668,0.439,707,16690,78,4.38,775,17485,154,2.84,758,17469,544,2.11,Springer New York,4.0,4.1
Journal of Electronic Packaging,journal,ENGI;MATE;COMP,"Electrical and Electronic Engineering;Computer Science Applications;Electronic, Optical and Magnetic Materials;Mechanics of Materials",0.84,0.615,69,1961,5,5.8,48,2121,19,2.08,49,2020,30,2.04,American Society of Mechanical Engineers (ASME),5.3,4.9
Journal of Electronic Science and Technology,journal,ENGI;COMP,Computer Networks and Communications;Signal Processing;Electrical and Electronic Engineering,0.76,0.329,27,556,3,0.0,27,708,16,22.22,26,765,21,3.85,KeAi Communications Co.,5.3,4.3
Journal of Electronic Testing: Theory and Applications (JETTA),journal,ENGI,Electrical and Electronic Engineering,0.518,0.271,51,640,17,0.0,47,685,28,0.0,50,585,47,0.0,Springer Netherlands,2.2,2.0
Journal of Electrostatics,journal,PHYS;ENGI;BIOC;MATE,"Biotechnology;Surfaces, Coatings and Films;Condensed Matter Physics;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering",1.029,0.426,79,4301,11,1.27,50,4094,11,4.0,70,3451,52,2.86,Elsevier B.V.,3.5,4.0
Journal of Emergency Management,journal,ENGI;SOCI;MEDI,"Safety Research;Emergency Medicine;Safety, Risk, Reliability and Quality",0.248,0.228,69,341,40,4.35,83,354,63,0.0,44,298,42,2.27,Weston Medical Publishing,1.0,1.2
Journal of Energy Engineering - ASCE,journal,ENGI;ENVI;ENER,"Energy Engineering and Power Technology;Civil and Structural Engineering;Renewable Energy, Sustainability and the Environment;Waste Management and Disposal;Nuclear Energy and Engineering",0.564,0.446,61,1445,9,0.0,70,1372,23,0.0,40,1296,33,0.0,American Society of Civil Engineers (ASCE),4.1,4.1
Journal of Energy Resources Technology,journal,ENGI;EART;ENER,"Energy Engineering and Power Technology;Renewable Energy, Sustainability and the Environment;Mechanical Engineering;Fuel Technology;Geochemistry and Petrology",0.798,0.716,335,5496,34,0.3,190,5504,43,0.0,94,4701,61,0.0,American Society of Mechanical Engineers (ASME),7.1,6.4
Journal of Energy Storage,journal,ENGI;ENER,"Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Electrical and Electronic Engineering",1.669,1.595,2395,29160,37,8.89,3185,50428,131,8.85,4450,78235,2114,8.76,Elsevier B.V.,12.3,11.8
Journal of Engineering (United Kingdom),journal,CENG;ENGI;COMP,Industrial and Manufacturing Engineering;Civil and Structural Engineering;Mechanical Engineering;Hardware and Architecture;Electrical and Electronic Engineering;Chemical Engineering (all),1.109,0.422,63,959,14,4.76,51,994,21,3.92,51,980,47,1.96,Hindawi Limited,2.8,4.2
Journal of Engineering Design,journal,ENGI,Engineering (all),1.045,0.603,43,1760,3,0.0,46,1583,10,2.17,113,1397,87,7.08,Taylor and Francis Ltd.,4.3,5.0
Journal of Engineering Education,journal,ENGI;SOCI,Education;Engineering (all),4.874,1.476,48,5705,3,4.17,61,6112,9,1.64,58,5443,33,27.59,Wiley-Blackwell,10.6,12.2
Journal of Engineering Education Transformations,journal,ENGI;SOCI,Education;Engineering (all);Development,0.236,0.185,242,230,138,0.41,93,358,60,0.0,184,482,174,0.0,Rajarambapu Institute Of Technology,1.4,1.2
Journal of Engineering Geology,journal,EART;ENGI;ENVI,Environmental Engineering;Geotechnical Engineering and Engineering Geology;Engineering (miscellaneous);Earth and Planetary Sciences (miscellaneous),0.333,0.173,49,20,42,2.04,49,35,47,6.12,30,27,29,13.33,Korean Society of Engineering Geology,0.4,0.4
Journal of Engineering Materials and Technology,journal,PHYS;ENGI;MATE,Condensed Matter Physics;Materials Science (all);Mechanics of Materials;Mechanical Engineering,0.581,0.348,50,3773,9,0.0,31,3589,6,0.0,35,3139,22,0.0,The American Society of Mechanical Engineers(ASME),3.3,3.0
Journal of Engineering Mathematics,journal,ENGI;MATH,Mathematics (all);Engineering (all),0.76,0.353,62,2508,18,0.0,61,2351,23,0.0,99,2139,79,0.0,Springer Netherlands,2.3,2.1
Journal of Engineering Mechanics - ASCE,journal,ENGI,Mechanical Engineering;Mechanics of Materials,1.406,0.893,137,16877,14,0.0,153,16372,33,0.65,116,14803,76,0.0,American Society of Civil Engineers (ASCE),6.0,6.3
Journal of Engineering Physics and Thermophysics,journal,PHYS;ENGI,Engineering (all);Condensed Matter Physics,0.676,0.290,205,1534,133,0.98,205,1408,170,0.49,154,1032,154,1.3,"Springer GmbH & Co, Auslieferungs-Gesellschaf",0.9,1.0
Journal of Engineering Research (Kuwait),journal,ENGI,Engineering (all),0.434,0.232,252,657,96,0.79,230,1048,67,0.43,376,1812,173,5.85,Elsevier B.V.,2.5,1.6
Journal of Engineering Science and Technology,journal,ENGI,Engineering (all),0.506,0.206,434,2600,217,1.38,421,2834,281,1.43,174,2782,167,1.15,Taylor's University,1.9,1.7
Journal of Engineering Science and Technology Review,journal,ENGI,Engineering (all),0.267,0.174,157,1152,79,0.0,150,1298,118,4.0,99,1043,92,6.06,International Hellenic University School of Science and Technology,1.0,1.0
Journal of Engineering Technology,journal,ENGI,Engineering (all),0.3,0.103,8,65,6,0.0,9,52,8,11.11,5,67,4,0.0,American Society for Engineering Education,0.5,0.4
Journal of Engineering and Sustainable Development,journal,ENGI,Mechanical Engineering;Engineering (miscellaneous);Electrical and Electronic Engineering;Civil and Structural Engineering,0.25,0.160,58,64,29,1.72,62,135,38,22.58,58,192,47,6.9,Mustansiriyah University College of Engineering,1.4,0.7
Journal of Engineering and Technological Sciences,journal,CENG;ENVI;MATE;ENGI;EART,Civil and Structural Engineering;Environmental Science (miscellaneous);Engineering (all);Mechanical Engineering;Engineering (miscellaneous);Chemical Engineering (miscellaneous);Materials Science (miscellaneous);Earth-Surface Processes,0.719,0.363,84,526,25,0.0,56,664,38,5.36,40,666,35,5.0,"Institute for Research and Community Services, Institut Teknologi Bandung",1.9,2.3
Journal of Engineering and Technology Management - JET-M,journal,BUSI;DECI;ENGI,Strategy and Management;Information Systems and Management;Engineering (all);Management Science and Operations Research;Industrial Relations,1.348,1.042,26,2260,1,0.0,37,2321,8,0.0,39,2206,24,0.0,Elsevier B.V.,6.0,8.0
Journal of Engineering and Technology for Industrial Applications,journal,ENGI;COMP,Industrial and Manufacturing Engineering;Artificial Intelligence;Electrical and Electronic Engineering,0.23,0.134,30,25,24,0.0,39,47,32,0.0,77,71,75,0.0,Galileo Institute of Technology and Education of the Amazon (ITEGAM),0.5,0.6
Journal of Engineering for Gas Turbines and Power,journal,ENGI;ENER,Energy Engineering and Power Technology;Mechanical Engineering;Aerospace Engineering;Fuel Technology;Nuclear Energy and Engineering,0.901,0.506,257,11103,29,0.0,240,11456,47,0.0,224,10782,108,0.0,American Society of Mechanical Engineers (ASME),4.3,3.8
Journal of Engineering for Sustainable Buildings and Cities,journal,ENGI,Architecture;Building and Construction;Engineering (miscellaneous);Civil and Structural Engineering,0.385,0.336,21,63,12,0.0,25,89,17,0.0,14,77,11,0.0,The American Society of Mechanical Engineers(ASME),2.0,2.4
"Journal of Engineering, Design and Technology",journal,ENGI,Engineering (all),1.257,0.600,73,1640,4,6.85,157,2340,29,8.28,123,2582,41,9.76,Emerald Group Publishing Ltd.,8.1,6.5
"Journal of Engineering, Project, and Production Management",journal,BUSI;ENGI,"Mechanical Engineering;Engineering (miscellaneous);Business, Management and Accounting (miscellaneous)",0.784,0.286,24,88,5,4.17,29,157,14,0.0,26,179,24,11.54,Engineering Project and Production Management,2.5,2.3
Journal of Enhanced Heat Transfer,journal,CENG;PHYS;ENGI,Mechanical Engineering;Fluid Flow and Transfer Processes;Condensed Matter Physics,0.509,0.384,39,648,7,0.0,40,576,18,0.0,33,560,26,0.0,Begell House Inc.,3.0,3.6
Journal of Environmental Engineering (United States),journal,ENGI;ENVI,Environmental Engineering;Environmental Science (all);Environmental Chemistry;Civil and Structural Engineering,0.557,0.475,126,7382,33,5.56,127,6610,42,4.72,98,5341,75,6.12,American Society of Civil Engineers (ASCE),2.8,4.4
Journal of Environmental Health and Sustainable Development,journal,MEDI;ENGI;ENVI,"Public Health, Environmental and Occupational Health;Health, Toxicology and Mutagenesis;Engineering (miscellaneous);Waste Management and Disposal;Environmental Engineering",0.215,0.209,32,102,13,0.0,31,180,23,3.23,24,165,23,0.0,Shahid Sadoughi University of Medical Sciences,1.3,1.1
Journal of Eta Maritime Science,journal,ENGI,Engineering (miscellaneous),0.413,0.255,27,49,11,0.0,34,90,26,2.94,26,112,22,0.0,Galenos Publishing House,1.5,1.3
Journal of Experimental Nanoscience,journal,CENG;ENGI;MATE,Bioengineering;Materials Science (all);Biomedical Engineering,0.53,0.376,43,2215,5,0.0,35,2185,13,2.86,19,1889,13,0.0,Taylor and Francis Ltd.,5.8,4.1
Journal of Facade Design and Engineering,journal,ENGI,Architecture;Building and Construction;Civil and Structural Engineering,0.495,0.349,18,167,6,5.56,15,191,7,0.0,1,184,1,0.0,TU Delft Open,3.2,1.9
Journal of Failure Analysis and Prevention,journal,ENGI;MATE,"Mechanical Engineering;Materials Science (all);Mechanics of Materials;Safety, Risk, Reliability and Quality",0.595,0.252,223,2033,84,3.14,232,2254,121,2.59,217,2436,180,3.23,Springer New York,2.1,2.0
Journal of Fiber Science and Technology,journal,CENG;ENGI;MATE,Polymers and Plastics;Materials Science (miscellaneous);Chemical Engineering (miscellaneous);Industrial and Manufacturing Engineering,0.159,0.133,118,449,113,4.24,105,397,97,7.62,67,378,66,4.48,Society of Fiber Science and Technology,0.3,0.5
Journal of Field Robotics,journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications,3.156,1.949,69,6961,2,0.0,123,7400,14,0.0,194,6315,129,0.0,John Wiley & Sons Inc.,8.2,15.0
Journal of Fire Sciences,journal,ENGI,"Mechanical Engineering;Mechanics of Materials;Safety, Risk, Reliability and Quality",0.941,0.447,22,1263,4,9.09,17,1327,3,5.88,27,1311,22,0.0,SAGE Publications Ltd,3.5,4.0
Journal of Flood Risk Management,journal,ENGI;SOCI;ENVI,"Environmental Engineering;Geography, Planning and Development;Water Science and Technology;Safety, Risk, Reliability and Quality",1.139,0.855,95,2683,8,2.11,79,2739,5,5.06,85,2673,60,1.18,Blackwell Publishing,7.7,8.4
Journal of Flow Visualization and Image Processing,journal,PHYS;ENGI;COMP,Mechanical Engineering;Computer Science Applications;Condensed Matter Physics,0.576,0.299,20,118,9,0.0,21,143,11,0.0,23,99,20,0.0,Begell House Inc.,1.2,1.3
Journal of Fluid Mechanics,journal,ENGI;PHYS;MATH,Condensed Matter Physics;Mechanical Engineering;Applied Mathematics;Mechanics of Materials,1.516,1.565,1220,79924,100,0.57,1086,79174,209,0.92,783,73081,524,0.64,Cambridge University Press,6.7,6.5
Journal of Fluid Science and Technology,journal,CENG;ENGI,Mechanical Engineering;Fluid Flow and Transfer Processes,0.316,0.219,13,86,7,0.0,32,75,19,0.0,28,97,24,0.0,Japan Society of Mechanical Engineers,0.9,1.0
Journal of Fluids Engineering,journal,ENGI,Mechanical Engineering,0.892,0.543,203,14929,36,0.0,117,14481,32,1.71,119,12749,81,1.68,American Society of Mechanical Engineers (ASME),4.2,4.6
Journal of Fluids and Structures,journal,ENGI,Mechanical Engineering,1.604,1.027,171,13108,7,0.0,165,12965,24,0.0,134,11459,79,0.0,Academic Press,7.0,6.9
Journal of Food Measurement and Characterization,journal,CENG;AGRI;ENGI,"Industrial and Manufacturing Engineering;Chemical Engineering (all);Safety, Risk, Reliability and Quality;Food Science",0.82,0.622,444,7084,16,3.6,553,8612,89,5.06,762,10048,515,4.72,Springer Science + Business Media,6.1,6.0
Journal of Food Quality,journal,ENGI;AGRI,"Food Science;Safety, Risk, Reliability and Quality",0.885,0.559,306,5768,21,4.9,130,6533,35,8.46,99,6477,81,6.06,Hindawi Limited,7.3,5.9
Journal of Friction and Wear,journal,ENGI;MATE,"Mechanics of Materials;Surfaces, Coatings and Films",0.643,0.335,63,716,40,0.0,60,652,43,0.0,17,488,17,0.0,Pleiades Publishing,1.0,1.5
Journal of Functional Biomaterials,journal,ENGI;MATE,Biomaterials;Biomedical Engineering,0.988,0.722,306,2180,11,19.28,566,4012,86,19.96,312,5844,227,18.59,Multidisciplinary Digital Publishing Institute (MDPI),6.1,4.6
Journal of Geometric Mechanics,journal,ENGI;MATH,Control and Optimization;Applied Mathematics;Geometry and Topology;Mechanics of Materials,1.072,0.475,28,150,9,0.0,13,250,5,0.0,0,157,0,0.0,American Institute of Mathematical Sciences,2.5,1.7
Journal of Geophysics and Engineering,journal,ENVI;ENGI;EART,"Management, Monitoring, Policy and Law;Industrial and Manufacturing Engineering;Geophysics;Geology",0.684,0.542,96,2769,20,0.0,89,2588,37,0.0,100,2416,80,1.0,Oxford University Press,2.6,2.5
Journal of Graphic Engineering and Design,journal,ENGI;COMP,Computer Graphics and Computer-Aided Design;Computational Mechanics,0.979,0.272,15,46,8,6.67,16,52,13,6.25,13,54,12,0.0,"University of Novi Sad - Faculty of Technical Sciences, Department of Graphic Engineering and Design",1.5,1.4
Journal of Graphics,journal,ENGI;COMP,Industrial and Manufacturing Engineering;Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition;Engineering (miscellaneous);Computer Science Applications,0.483,0.169,129,231,63,0.78,130,332,86,2.31,86,303,82,3.49,Editorial of Board of Journal of Graphics,1.3,1.2
